audio_filepath,texts
F1/Audio/inform_3356_11.wav,елдегі шектеу шараларына қарамастан палата мамандары кәсіпкерлерге көрсетілетін қызметтерді тоқтатқан емес.
F1/Audio/inform_2803_08.wav,сондықтан рейд күн сайын өткізіліп тұрады.
F1/Audio/inform_1163_032.wav,бүгінде еліміздің жаңғыру үлгісін қазақстан жолы деп атайды.
F1/Audio/inform_1960_022.wav,"мен институт қабырғасында көптеген жарыстарға қатыстым, соңғы рет бір мың тоғыз жүз тоқсан үшінші жылы екінші курстағы кезімде алматыда өткен ауыр атлетикадан орталық азия чемпионатына қазақстан атынан шығып,"
F1/Audio/inform_2022_07.wav,"оның ішінде алты жүз елу алты пәтерлі он бір несиелік тұрғын үй, сегіз жүз тоқсан сегіз пәтерлі он алты арендалық тұрғын үйлер болып табылады."
F1/Audio/inform_1127_07.wav,оған қырық төртінші минутта интер шабуылшысы ромелу лукаку бір голмен жауап қайырды.
F1/Audio/inform_2813_24.wav,келген соң ата кәсібіне кірісетіні анық.
F1/Audio/inform_1066_0.wav,сирия бойынша астана процесінің кезекті он төрт раунды аяқталды.
F1/Audio/inform_2066_06.wav,"министрдің айтуынша, он алтысы мен жиырма екінші желтоқсан аралығында жүз төрт жол-көлік оқиғасы тіркеліп, соның салдарынан отыз тоғыз адам көз жұмған."
F1/Audio/inform_1061_06.wav,осы орайда айтпағым: елбасымыздың елге деген көзқарас - тілге деген көзқарас деген сөзін атап өткім келеді.
F1/Audio/inform_3313_12.wav,"екі мың отызыншы жылға қарай келесі мамандықтар жойылады: шатыршылар, өңдеушілер, сылақшылар, пісірушілер, газдық кескіштер, арматурашылар, қаптаушылар және тағы да басқалары."
F1/Audio/inform_1560_01.wav,"қорытынды баспасөз мәслихатына түркия, ресей, өзбекстан, малайзия елдеріндегі музей басшылығындағы өкілдер қатысты."
F1/Audio/inform_1998_18.wav,"тігістері түзу болуы, денемен жанасатын резеңкелері мен ілгектері қажауды болдырмау үшін ішкі планкамен қорғалған болуы тиіс."
