,audio_filepath,txt_filepath,missing
0,F1/Audio/inform_3356_11.wav,F1/Transcripts/inform_3356_11.txt,False
1,F1/Audio/inform_2803_08.wav,F1/Transcripts/inform_2803_08.txt,False
2,F1/Audio/inform_1163_032.wav,F1/Transcripts/inform_1163_032.txt,False
3,F1/Audio/inform_1960_022.wav,F1/Transcripts/inform_1960_022.txt,False
4,F1/Audio/inform_2022_07.wav,F1/Transcripts/inform_2022_07.txt,False
5,F1/Audio/inform_1127_07.wav,F1/Transcripts/inform_1127_07.txt,False
6,F1/Audio/inform_2813_24.wav,F1/Transcripts/inform_2813_24.txt,False
7,F1/Audio/inform_1066_0.wav,F1/Transcripts/inform_1066_0.txt,False
8,F1/Audio/inform_2066_06.wav,F1/Transcripts/inform_2066_06.txt,False
9,F1/Audio/inform_1061_06.wav,F1/Transcripts/inform_1061_06.txt,False
10,F1/Audio/inform_3313_12.wav,F1/Transcripts/inform_3313_12.txt,False
11,F1/Audio/inform_1560_01.wav,F1/Transcripts/inform_1560_01.txt,False
12,F1/Audio/inform_1998_18.wav,F1/Transcripts/inform_1998_18.txt,False
13,F1/Audio/inform_855_18.wav,F1/Transcripts/inform_855_18.txt,False
14,F1/Audio/inform_2014_08.wav,F1/Transcripts/inform_2014_08.txt,False
15,F1/Audio/inform_603_06.wav,F1/Transcripts/inform_603_06.txt,False
16,F1/Audio/inform_771_02.wav,F1/Transcripts/inform_771_02.txt,False
17,F1/Audio/inform_1093_09.wav,F1/Transcripts/inform_1093_09.txt,False
18,F1/Audio/inform_2775_24.wav,F1/Transcripts/inform_2775_24.txt,False
19,F1/Audio/inform_3366_19.wav,F1/Transcripts/inform_3366_19.txt,False
20,F1/Audio/inform_3403_15.wav,F1/Transcripts/inform_3403_15.txt,False
21,F1/Audio/inform_2011_03.wav,F1/Transcripts/inform_2011_03.txt,False
22,F1/Audio/inform_2077_15.wav,F1/Transcripts/inform_2077_15.txt,False
23,F1/Audio/inform_4530_069.wav,F1/Transcripts/inform_4530_069.txt,False
24,F1/Audio/inform_1616_15.wav,F1/Transcripts/inform_1616_15.txt,False
25,F1/Audio/inform_4517_10.wav,F1/Transcripts/inform_4517_10.txt,False
26,F1/Audio/inform_1960_046.wav,F1/Transcripts/inform_1960_046.txt,False
27,F1/Audio/inform_1526_06.wav,F1/Transcripts/inform_1526_06.txt,False
28,F1/Audio/inform_2071_22.wav,F1/Transcripts/inform_2071_22.txt,False
29,F1/Audio/inform_2053_05.wav,F1/Transcripts/inform_2053_05.txt,False
30,F1/Audio/inform_835_21.wav,F1/Transcripts/inform_835_21.txt,False
31,F1/Audio/inform_854_11.wav,F1/Transcripts/inform_854_11.txt,False
32,F1/Audio/inform_2830_32.wav,F1/Transcripts/inform_2830_32.txt,False
33,F1/Audio/inform_865_37.wav,F1/Transcripts/inform_865_37.txt,False
34,F1/Audio/inform_2737_17.wav,F1/Transcripts/inform_2737_17.txt,False
35,F1/Audio/inform_768_02.wav,F1/Transcripts/inform_768_02.txt,False
36,F1/Audio/inform_856_13.wav,F1/Transcripts/inform_856_13.txt,False
37,F1/Audio/inform_2790_07.wav,F1/Transcripts/inform_2790_07.txt,False
38,F1/Audio/inform_1965_00.wav,F1/Transcripts/inform_1965_00.txt,False
39,F1/Audio/inform_2062_12.wav,F1/Transcripts/inform_2062_12.txt,False
40,F1/Audio/inform_3380_10.wav,F1/Transcripts/inform_3380_10.txt,False
41,F1/Audio/inform_3443_17.wav,F1/Transcripts/inform_3443_17.txt,False
42,F1/Audio/inform_4086_03.wav,F1/Transcripts/inform_4086_03.txt,False
43,F1/Audio/inform_878_04.wav,F1/Transcripts/inform_878_04.txt,False
44,F1/Audio/inform_786_03.wav,F1/Transcripts/inform_786_03.txt,False
45,F1/Audio/inform_1110_05.wav,F1/Transcripts/inform_1110_05.txt,False
46,F1/Audio/inform_2838_10.wav,F1/Transcripts/inform_2838_10.txt,False
47,F1/Audio/inform_2069_06.wav,F1/Transcripts/inform_2069_06.txt,False
48,F1/Audio/inform_620_08.wav,F1/Transcripts/inform_620_08.txt,False
49,F1/Audio/inform_2817_08.wav,F1/Transcripts/inform_2817_08.txt,False
50,F1/Audio/inform_1633_13.wav,F1/Transcripts/inform_1633_13.txt,False
51,F1/Audio/inform_4633_07.wav,F1/Transcripts/inform_4633_07.txt,False
52,F1/Audio/inform_1630_04.wav,F1/Transcripts/inform_1630_04.txt,False
53,F1/Audio/inform_830_60.wav,F1/Transcripts/inform_830_60.txt,False
54,F1/Audio/inform_4110_03.wav,F1/Transcripts/inform_4110_03.txt,False
55,F1/Audio/inform_2029_15.wav,F1/Transcripts/inform_2029_15.txt,False
56,F1/Audio/inform_1138_6.wav,F1/Transcripts/inform_1138_6.txt,False
57,F1/Audio/inform_3312_00.wav,F1/Transcripts/inform_3312_00.txt,False
58,F1/Audio/inform_3448_07.wav,F1/Transcripts/inform_3448_07.txt,False
59,F1/Audio/inform_1144_07.wav,F1/Transcripts/inform_1144_07.txt,False
60,F1/Audio/inform_2073_23.wav,F1/Transcripts/inform_2073_23.txt,False
61,F1/Audio/inform_1069_05.wav,F1/Transcripts/inform_1069_05.txt,False
62,F1/Audio/inform_1600_08.wav,F1/Transcripts/inform_1600_08.txt,False
63,F1/Audio/inform_892_05.wav,F1/Transcripts/inform_892_05.txt,False
64,F1/Audio/inform_899_07.wav,F1/Transcripts/inform_899_07.txt,False
65,F1/Audio/inform_2061_14.wav,F1/Transcripts/inform_2061_14.txt,False
66,F1/Audio/inform_764_04.wav,F1/Transcripts/inform_764_04.txt,False
67,F1/Audio/inform_2045_13.wav,F1/Transcripts/inform_2045_13.txt,False
68,F1/Audio/inform_1632_03.wav,F1/Transcripts/inform_1632_03.txt,False
69,F1/Audio/inform_4132_14.wav,F1/Transcripts/inform_4132_14.txt,False
70,F1/Audio/inform_619_04.wav,F1/Transcripts/inform_619_04.txt,False
71,F1/Audio/inform_3319_20.wav,F1/Transcripts/inform_3319_20.txt,False
72,F1/Audio/inform_2061_05.wav,F1/Transcripts/inform_2061_05.txt,False
73,F1/Audio/inform_3318_00.wav,F1/Transcripts/inform_3318_00.txt,False
74,F1/Audio/inform_2071_17.wav,F1/Transcripts/inform_2071_17.txt,False
75,F1/Audio/inform_1970_19.wav,F1/Transcripts/inform_1970_19.txt,False
76,F1/Audio/inform_4089_10.wav,F1/Transcripts/inform_4089_10.txt,False
77,F1/Audio/inform_1163_171.wav,F1/Transcripts/inform_1163_171.txt,False
78,F1/Audio/inform_764_37.wav,F1/Transcripts/inform_764_37.txt,False
79,F1/Audio/inform_1135_18.wav,F1/Transcripts/inform_1135_18.txt,False
80,F1/Audio/inform_711_2.wav,F1/Transcripts/inform_711_2.txt,False
81,F1/Audio/inform_1163_030.wav,F1/Transcripts/inform_1163_030.txt,False
82,F1/Audio/inform_760_07.wav,F1/Transcripts/inform_760_07.txt,False
83,F1/Audio/inform_2749_02.wav,F1/Transcripts/inform_2749_02.txt,False
84,F1/Audio/inform_4622_03.wav,F1/Transcripts/inform_4622_03.txt,False
85,F1/Audio/inform_1116_07.wav,F1/Transcripts/inform_1116_07.txt,False
86,F1/Audio/inform_1108_13.wav,F1/Transcripts/inform_1108_13.txt,False
87,F1/Audio/inform_832_05.wav,F1/Transcripts/inform_832_05.txt,False
88,F1/Audio/inform_3356_03.wav,F1/Transcripts/inform_3356_03.txt,False
89,F1/Audio/inform_3372_15.wav,F1/Transcripts/inform_3372_15.txt,False
90,F1/Audio/inform_2037_09.wav,F1/Transcripts/inform_2037_09.txt,False
91,F1/Audio/inform_899_02.wav,F1/Transcripts/inform_899_02.txt,False
92,F1/Audio/inform_2789_16.wav,F1/Transcripts/inform_2789_16.txt,False
93,F1/Audio/inform_1122_12.wav,F1/Transcripts/inform_1122_12.txt,False
94,F1/Audio/inform_2830_50.wav,F1/Transcripts/inform_2830_50.txt,False
95,F1/Audio/inform_1616_09.wav,F1/Transcripts/inform_1616_09.txt,False
96,F1/Audio/inform_1511_16.wav,F1/Transcripts/inform_1511_16.txt,False
97,F1/Audio/inform_2736_06.wav,F1/Transcripts/inform_2736_06.txt,False
98,F1/Audio/inform_4129_06.wav,F1/Transcripts/inform_4129_06.txt,False
99,F1/Audio/inform_3443_19.wav,F1/Transcripts/inform_3443_19.txt,False
100,F1/Audio/inform_4622_07.wav,F1/Transcripts/inform_4622_07.txt,False
101,F1/Audio/inform_821_12.wav,F1/Transcripts/inform_821_12.txt,False
102,F1/Audio/inform_1978_14.wav,F1/Transcripts/inform_1978_14.txt,False
103,F1/Audio/inform_1979_06.wav,F1/Transcripts/inform_1979_06.txt,False
104,F1/Audio/inform_815_09.wav,F1/Transcripts/inform_815_09.txt,False
105,F1/Audio/inform_4092_36.wav,F1/Transcripts/inform_4092_36.txt,False
106,F1/Audio/inform_1558_07.wav,F1/Transcripts/inform_1558_07.txt,False
107,F1/Audio/inform_1598_02.wav,F1/Transcripts/inform_1598_02.txt,False
108,F1/Audio/inform_3436_08.wav,F1/Transcripts/inform_3436_08.txt,False
109,F1/Audio/inform_2770_24.wav,F1/Transcripts/inform_2770_24.txt,False
110,F1/Audio/inform_2804_04.wav,F1/Transcripts/inform_2804_04.txt,False
111,F1/Audio/inform_3329_11.wav,F1/Transcripts/inform_3329_11.txt,False
112,F1/Audio/inform_4088_08.wav,F1/Transcripts/inform_4088_08.txt,False
113,F1/Audio/inform_786_07.wav,F1/Transcripts/inform_786_07.txt,False
114,F1/Audio/inform_1608_08.wav,F1/Transcripts/inform_1608_08.txt,False
115,F1/Audio/inform_1163_114.wav,F1/Transcripts/inform_1163_114.txt,False
116,F1/Audio/inform_830_56.wav,F1/Transcripts/inform_830_56.txt,False
117,F1/Audio/inform_1505_10.wav,F1/Transcripts/inform_1505_10.txt,False
118,F1/Audio/inform_854_16.wav,F1/Transcripts/inform_854_16.txt,False
119,F1/Audio/inform_2808_07.wav,F1/Transcripts/inform_2808_07.txt,False
120,F1/Audio/inform_1607_2.wav,F1/Transcripts/inform_1607_2.txt,False
121,F1/Audio/inform_662_02.wav,F1/Transcripts/inform_662_02.txt,False
122,F1/Audio/inform_1511_21.wav,F1/Transcripts/inform_1511_21.txt,False
123,F1/Audio/inform_2018_40.wav,F1/Transcripts/inform_2018_40.txt,False
124,F1/Audio/inform_2099_26.wav,F1/Transcripts/inform_2099_26.txt,False
125,F1/Audio/inform_3348_06.wav,F1/Transcripts/inform_3348_06.txt,False
126,F1/Audio/inform_2013_15.wav,F1/Transcripts/inform_2013_15.txt,False
127,F1/Audio/inform_3428_11.wav,F1/Transcripts/inform_3428_11.txt,False
128,F1/Audio/inform_1120_05.wav,F1/Transcripts/inform_1120_05.txt,False
129,F1/Audio/inform_1548_17.wav,F1/Transcripts/inform_1548_17.txt,False
130,F1/Audio/inform_1551_03.wav,F1/Transcripts/inform_1551_03.txt,False
131,F1/Audio/inform_825_04.wav,F1/Transcripts/inform_825_04.txt,False
132,F1/Audio/inform_3344_12.wav,F1/Transcripts/inform_3344_12.txt,False
133,F1/Audio/inform_2080_12.wav,F1/Transcripts/inform_2080_12.txt,False
134,F1/Audio/inform_2725_16.wav,F1/Transcripts/inform_2725_16.txt,False
135,F1/Audio/inform_2087_00.wav,F1/Transcripts/inform_2087_00.txt,False
136,F1/Audio/inform_3359_07.wav,F1/Transcripts/inform_3359_07.txt,False
137,F1/Audio/inform_4639_00.wav,F1/Transcripts/inform_4639_00.txt,False
138,F1/Audio/inform_3367_12.wav,F1/Transcripts/inform_3367_12.txt,False
139,F1/Audio/inform_3359_13.wav,F1/Transcripts/inform_3359_13.txt,False
