,audio_filepath,txt_filepath,missing
0,M2/Audio/tengrinewsblog_68_004.wav,M2/Transcripts/tengrinewsblog_68_004.txt,False
1,M2/Audio/tengrinewsblog_51_24.wav,M2/Transcripts/tengrinewsblog_51_24.txt,False
2,M2/Audio/inform_2582_00.wav,M2/Transcripts/inform_2582_00.txt,False
3,M2/Audio/inform_1944_11.wav,M2/Transcripts/inform_1944_11.txt,False
4,M2/Audio/inform_1163_032.wav,M2/Transcripts/inform_1163_032.txt,False
5,M2/Audio/inform_1127_07.wav,M2/Transcripts/inform_1127_07.txt,False
6,M2/Audio/inform_4216_05.wav,M2/Transcripts/inform_4216_05.txt,False
7,M2/Audio/inform_1909_06.wav,M2/Transcripts/inform_1909_06.txt,False
8,M2/Audio/inform_725_08.wav,M2/Transcripts/inform_725_08.txt,False
9,M2/Audio/nur_287_10.wav,M2/Transcripts/nur_287_10.txt,False
10,M2/Audio/inform_3453_8.wav,M2/Transcripts/inform_3453_8.txt,False
11,M2/Audio/nur_293_11.wav,M2/Transcripts/nur_293_11.txt,False
12,M2/Audio/inform_1061_06.wav,M2/Transcripts/inform_1061_06.txt,False
13,M2/Audio/inform_2669_00.wav,M2/Transcripts/inform_2669_00.txt,False
14,M2/Audio/inform_4234_01.wav,M2/Transcripts/inform_4234_01.txt,False
15,M2/Audio/inform_2567_32.wav,M2/Transcripts/inform_2567_32.txt,False
16,M2/Audio/inform_1056_32.wav,M2/Transcripts/inform_1056_32.txt,False
17,M2/Audio/nur_177_20.wav,M2/Transcripts/nur_177_20.txt,False
18,M2/Audio/inform_968_09.wav,M2/Transcripts/inform_968_09.txt,False
19,M2/Audio/nur_183_10.wav,M2/Transcripts/nur_183_10.txt,False
20,M2/Audio/inform_3545_11.wav,M2/Transcripts/inform_3545_11.txt,False
21,M2/Audio/inform_4322_071.wav,M2/Transcripts/inform_4322_071.txt,False
22,M2/Audio/tengrinewsblog_67_055.wav,M2/Transcripts/tengrinewsblog_67_055.txt,False
23,M2/Audio/inform_1834_06.wav,M2/Transcripts/inform_1834_06.txt,False
24,M2/Audio/inform_1928_07.wav,M2/Transcripts/inform_1928_07.txt,False
25,M2/Audio/inform_855_18.wav,M2/Transcripts/inform_855_18.txt,False
26,M2/Audio/inform_603_06.wav,M2/Transcripts/inform_603_06.txt,False
27,M2/Audio/inform_771_02.wav,M2/Transcripts/inform_771_02.txt,False
28,M2/Audio/inform_4275_03.wav,M2/Transcripts/inform_4275_03.txt,False
29,M2/Audio/inform_1932_232.wav,M2/Transcripts/inform_1932_232.txt,False
30,M2/Audio/inform_4206_14.wav,M2/Transcripts/inform_4206_14.txt,False
31,M2/Audio/nur_174_19.wav,M2/Transcripts/nur_174_19.txt,False
32,M2/Audio/inform_2677_12.wav,M2/Transcripts/inform_2677_12.txt,False
33,M2/Audio/inform_1093_09.wav,M2/Transcripts/inform_1093_09.txt,False
34,M2/Audio/inform_2689_34.wav,M2/Transcripts/inform_2689_34.txt,False
35,M2/Audio/inform_3525_01.wav,M2/Transcripts/inform_3525_01.txt,False
36,M2/Audio/inform_2572_076.wav,M2/Transcripts/inform_2572_076.txt,False
37,M2/Audio/inform_1150_08.wav,M2/Transcripts/inform_1150_08.txt,False
38,M2/Audio/inform_4718_15.wav,M2/Transcripts/inform_4718_15.txt,False
39,M2/Audio/inform_4219_083.wav,M2/Transcripts/inform_4219_083.txt,False
40,M2/Audio/inform_2588_10.wav,M2/Transcripts/inform_2588_10.txt,False
41,M2/Audio/tengrinewsblog_54_008.wav,M2/Transcripts/tengrinewsblog_54_008.txt,False
42,M2/Audio/inform_656_18.wav,M2/Transcripts/inform_656_18.txt,False
43,M2/Audio/inform_2604_08.wav,M2/Transcripts/inform_2604_08.txt,False
44,M2/Audio/inform_3588_11.wav,M2/Transcripts/inform_3588_11.txt,False
45,M2/Audio/inform_1159_11.wav,M2/Transcripts/inform_1159_11.txt,False
46,M2/Audio/inform_2612_04.wav,M2/Transcripts/inform_2612_04.txt,False
47,M2/Audio/inform_4723_15.wav,M2/Transcripts/inform_4723_15.txt,False
48,M2/Audio/inform_4285_17.wav,M2/Transcripts/inform_4285_17.txt,False
49,M2/Audio/inform_3481_02.wav,M2/Transcripts/inform_3481_02.txt,False
50,M2/Audio/inform_2609_03.wav,M2/Transcripts/inform_2609_03.txt,False
51,M2/Audio/nur_264_06.wav,M2/Transcripts/nur_264_06.txt,False
52,M2/Audio/nur_153_07.wav,M2/Transcripts/nur_153_07.txt,False
53,M2/Audio/inform_1934_14.wav,M2/Transcripts/inform_1934_14.txt,False
54,M2/Audio/inform_4284_013.wav,M2/Transcripts/inform_4284_013.txt,False
55,M2/Audio/inform_4683_52.wav,M2/Transcripts/inform_4683_52.txt,False
56,M2/Audio/inform_835_21.wav,M2/Transcripts/inform_835_21.txt,False
57,M2/Audio/inform_1184_00.wav,M2/Transcripts/inform_1184_00.txt,False
58,M2/Audio/inform_4322_097.wav,M2/Transcripts/inform_4322_097.txt,False
59,M2/Audio/inform_4207_08.wav,M2/Transcripts/inform_4207_08.txt,False
60,M2/Audio/inform_1832_19.wav,M2/Transcripts/inform_1832_19.txt,False
61,M2/Audio/inform_4689_13.wav,M2/Transcripts/inform_4689_13.txt,False
62,M2/Audio/inform_927_03.wav,M2/Transcripts/inform_927_03.txt,False
63,M2/Audio/tengrinewsblog_69_053.wav,M2/Transcripts/tengrinewsblog_69_053.txt,False
64,M2/Audio/inform_854_11.wav,M2/Transcripts/inform_854_11.txt,False
65,M2/Audio/nur_260_10.wav,M2/Transcripts/nur_260_10.txt,False
66,M2/Audio/inform_865_37.wav,M2/Transcripts/inform_865_37.txt,False
67,M2/Audio/nur_281_03.wav,M2/Transcripts/nur_281_03.txt,False
68,M2/Audio/inform_4734_09.wav,M2/Transcripts/inform_4734_09.txt,False
69,M2/Audio/inform_2581_04.wav,M2/Transcripts/inform_2581_04.txt,False
70,M2/Audio/inform_2583_087.wav,M2/Transcripts/inform_2583_087.txt,False
71,M2/Audio/inform_625_02.wav,M2/Transcripts/inform_625_02.txt,False
72,M2/Audio/inform_768_02.wav,M2/Transcripts/inform_768_02.txt,False
73,M2/Audio/tengrinewsblog_68_101.wav,M2/Transcripts/tengrinewsblog_68_101.txt,False
74,M2/Audio/inform_856_13.wav,M2/Transcripts/inform_856_13.txt,False
75,M2/Audio/nur_270_07.wav,M2/Transcripts/nur_270_07.txt,False
76,M2/Audio/inform_683_02.wav,M2/Transcripts/inform_683_02.txt,False
77,M2/Audio/inform_2589_10.wav,M2/Transcripts/inform_2589_10.txt,False
78,M2/Audio/inform_4255_06.wav,M2/Transcripts/inform_4255_06.txt,False
79,M2/Audio/nur_193_09.wav,M2/Transcripts/nur_193_09.txt,False
80,M2/Audio/inform_2628_07.wav,M2/Transcripts/inform_2628_07.txt,False
81,M2/Audio/nur_221_25.wav,M2/Transcripts/nur_221_25.txt,False
82,M2/Audio/inform_4756_0.wav,M2/Transcripts/inform_4756_0.txt,False
83,M2/Audio/nur_265_07.wav,M2/Transcripts/nur_265_07.txt,False
84,M2/Audio/nur_218_03.wav,M2/Transcripts/nur_218_03.txt,False
85,M2/Audio/inform_2656_00.wav,M2/Transcripts/inform_2656_00.txt,False
86,M2/Audio/inform_2567_37.wav,M2/Transcripts/inform_2567_37.txt,False
87,M2/Audio/inform_878_04.wav,M2/Transcripts/inform_878_04.txt,False
88,M2/Audio/tengrinewsblog_58_26.wav,M2/Transcripts/tengrinewsblog_58_26.txt,False
89,M2/Audio/inform_786_03.wav,M2/Transcripts/inform_786_03.txt,False
90,M2/Audio/inform_1172_11.wav,M2/Transcripts/inform_1172_11.txt,False
91,M2/Audio/inform_1110_05.wav,M2/Transcripts/inform_1110_05.txt,False
92,M2/Audio/inform_3461_06.wav,M2/Transcripts/inform_3461_06.txt,False
93,M2/Audio/tengrinewsblog_70_19.wav,M2/Transcripts/tengrinewsblog_70_19.txt,False
94,M2/Audio/inform_4673_04.wav,M2/Transcripts/inform_4673_04.txt,False
95,M2/Audio/inform_2596_06.wav,M2/Transcripts/inform_2596_06.txt,False
